pair;baselines;d1;d2;d3;d4;d5;avg5;dominance FD/FS
1;54,45;43,9;53,13;47,37;47,22;62,75;50,874;0
2;44,43;26,32;36,11;62,22;65,22;66,67;51,308;0
3;50,37;61,22;76,92;67,5;74;81,16;72,16;1
4;44,47;56,67;44;73,81;68,42;61,11;60,802;0
5;53,64;51,52;40,63;54,17;63,64;72,88;56,568;0
6;40,42;42,86;68,33;63,04;61,82;82,61;63,732;0
7;43,78;47,37;79,63;60,87;75;77,59;68,092;1
8;35,52;53,33;53,66;60;48,28;54,17;53,888;1
9;40,89;61,76;81,82;72,73;66,67;67,27;70,05;1
10;47,71;50;80,43;78,57;91,3;78,69;75,798;1
11;45,67;67,07;66,67;55,13;61,11;46,81;59,358;0
12;64,52;52,5;63,64;74;65,63;72,92;65,738;1
13;46,85;66,67;60;44;56,76;74,42;60,37;0
15;53,23;83,33;82,09;55,32;75,81;78,57;75,024;1
16;56,09;69,81;66,67;60,78;75;70;68,452;0
17;44,49;71,21;61,02;74,32;76,84;75;71,678;0
18;44,52;47,06;48,39;66,67;73,81;64,71;60,128;0
19;57,65;70,24;85,11;79,75;92,44;91,59;83,826;1
20;52,89;52,5;59,26;76,81;68,06;81,16;67,558;0
42;54,63;54,29;19,35;25;28,95;70,18;39,554;0
43;45,95;39,47;45;58,62;74,58;70,45;57,624;0
46;52,56;39,39;64,71;67,92;77,27;74,03;64,664;1
